Gene	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a245_gac-miR-133a-3p_gac-miR-133b-3p	115	0	0	41	64	35	13	0	0	7	3	38	15	200	5	508	878	108	36
a236_gac-miR-133a-3p	16457	427	387	7266	10130	1712	3647	1041	1122	1494	3024	7211	6651	46906	423	54975	102348	12615	6777
a64_gac-miR-130c-3p	53	45	48	23	25	33	7	81	65	21	25	19	15	10	9	4	39	20	15
a104_gac-miR-130c-2-5p	196	116	136	115	64	270	21	113	259	32	116	71	90	93	63	73	199	400	123
a30_gac-miR-130b-5p	9418	5902	7467	4696	2823	8382	1481	5452	15224	1628	5296	3574	4648	2973	3976	3910	10311	15267	4783
a62_gac-miR-130b-3p	121	191	92	77	19	258	28	43	57	13	54	11	16	35	20	27	79	95	38
a70_gac-miR-1306-5p	735	108	218	161	198	163	18	245	874	37	152	252	395	73	80	79	162	453	66
a12_gac-miR-129-1b/2-3p	5	0	5	7	0	0	0	14	0	0	0	0	7	5	0	17	34	0	0
a96_gac-miR-129-1a/2-5p	28	2	6	17	0	0	55	34	0	8	16	13	0	180	0	54	47	0	13
a117_gac-miR-128-2-5p	0	0	0	8	0	0	0	58	0	0	2	5	0	0	0	1	5	0	4
a166_gac-miR-128-2-3p	55605	19579	37613	40393	8729	18818	6420	34589	53158	9849	26521	31270	44253	21746	17784	32018	42508	77761	17165
a68_gac-miR-126b-5p	8937	2165	2965	6220	1648	2722	414	3604	4126	2211	1984	3269	4648	2892	1688	4727	6232	2926	1423
a179_gac-miR-126b-3p	150054	69566	93678	195199	83369	160186	24449	195958	243737	82067	40704	53394	65184	43984	50942	99858	91762	71468	43003
a175_gac-miR-125b-2/3-5p	226878	21030	29032	108893	102515	72155	18147	119745	206764	25882	39575	108705	96676	132493	68575	119653	239876	110018	47230
a28_gac-miR-125b-2-3p	273	26	24	112	167	50	7	256	632	36	12	156	116	155	132	97	153	138	45
a176_gac-miR-125a-5p	97781	35156	47357	95787	86532	89601	16893	136747	229426	30144	40737	59557	58474	65913	41834	64424	94793	76476	55987
a61_gac-miR-125a-1-3p_gac-miR-125a-2-3p	28	17	33	46	31	40	24	71	105	2	26	66	12	80	45	99	133	31	22
a129_gac-miR-124-3p	5	2	0	0	0	0	0	0	18	0	0	14	0	21	0	18	3	26	4
a123_gac-miR-122-5p	39735	5578	1075	287681	7512	9283	2855	31558	88669	5220	3486	617165	235841	287013	94073	215550	87567	92594	283633
a11_gac-miR-122-3p	134	102	18	2435	104	77	15	226	729	36	61	1637	500	1065	232	1146	415	112	881
a141_gac-miR-10c-5p	19851	2049	2431	8093	2391	4871	1516	7425	20552	6156	4608	7631	10061	2587	3404	17351	10284	7460	7037
a140_gac-miR-10b-5p	98076	13208	30153	97615	35581	53042	6086	32891	103919	10814	10033	35508	17734	28762	22659	48637	66923	32211	16552
a132_gac-miR-10545-5p	27	6	3	53	0	24	0	16	100	0	0	8	43	19	3	23	14	23	2
