Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a216_gac-miR-194b-5p	38	21	11	0	0	14	14	0	2	0	11	2	2	3	17	0	6	15	2
a215_gac-miR-194a-5p	6566	4179	4279	1337	512	1359	642	972	1027	372	277	1736	778	984	441	1066	225	372	1254
a71_gac-miR-194a-3p	132	18	35	16	0	43	0	0	19	0	1	13	0	30	5	8	0	15	1
a207_gac-miR-193a-2-5p	569	2363	286	849	783	2837	602	845	642	1185	406	950	1537	1687	618	1134	4295	950	339
a195_gac-miR-190b-5p	0	15	84	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a86_gac-miR-190a-3p	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0
a131_gac-miR-18c-5p	114	48	539	255	734	165	134	28	80	273	209	33	27	68	44	104	88	52	51
a130_gac-miR-18a/b-5p	191	67	359	87	120	135	13	23	52	121	126	17	53	38	32	40	138	112	37
a32_gac-miR-18a-3p	86	168	221	94	248	183	64	94	110	546	166	115	131	50	78	129	125	406	73
a76_gac-miR-184-5p	58	9	58	0	43	128	3	0	13	6	12	0	0	12	0	0	0	0	0
a204_gac-miR-184-3p	21144	3240	13528	953	3016	40768	4235	11220	2374	3872	2532	256	363	3256	1462	698	2944	17537	291
a159_gac-miR-183-5p	855	280	847	387	522	1328	340	608	224	417	395	67	91	460	91	276	599	382	244
a243_gac-miR-182b-5p	6	10	0	10	0	41	19	81	15	77	22	0	0	9	0	14	12	10	6
a241_gac-miR-182a-5p_gac-miR-182b-5p	47	17	116	11	0	102	9	64	5	25	13	4	0	6	7	18	2	0	4
a242_gac-miR-182a-5p	601	123	365	157	205	784	166	562	93	164	78	20	8	97	36	42	206	233	73
a87_gac-miR-181b-3-3p	56	0	13	4	0	3	28	0	0	0	7	0	0	0	0	0	0	0	3
a8_gac-miR-181b-2/3-5p_gac-miR-181c-5p	3363	2388	2813	2309	1893	3015	1790	2305	1179	1190	1023	1809	1903	1725	839	2368	3292	1801	1860
a88_gac-miR-181b-2-3p	2	0	0	3	0	0	20	0	3	0	0	0	0	21	0	2	0	0	0
a7_gac-miR-181b-1-5p	1562	1235	1383	1413	1268	1531	1207	676	753	660	582	540	535	585	365	650	910	984	467
a6_gac-miR-181a-5p	13642	12847	15513	14998	14663	15032	10826	7444	5473	7430	16089	12194	13413	13529	7193	17695	26996	14290	13597
a23_gac-miR-181a-3-3p	482	586	373	486	200	669	466	517	252	502	368	310	394	472	293	598	966	738	358
a21_gac-miR-181a-2-3p_gac-miR-181a-3-3p	56	82	120	57	45	117	14	90	31	72	40	105	75	61	44	188	189	155	61
a22_gac-miR-181a-2-3p	1830	2825	1771	1778	402	2969	1812	1377	1110	1061	702	1223	993	847	663	3106	2600	1592	1703
a24_gac-miR-181a-1-3p	362	349	662	277	673	496	299	195	203	126	229	71	117	109	54	234	345	213	102
a2_gac-miR-17a-5p	134	103	389	140	1010	145	0	39	62	61	105	36	78	58	79	164	181	170	66
a31_gac-miR-17a-1-3p	14	0	8	0	0	0	0	0	0	17	4	12	13	6	0	3	12	0	0
